pl_name,radius,mass,orbital_period,eccentricity,star_name,star_mass,star_radius,star_teff,star_distance,ra,dec,discovered,detection_type,eq_temperature,star_spectype
hd 60532 c,,797.7533,600.1,0.03,HD 60532,1.5,2.57,6245.0,25.9716,113.5130656,-22.2958661,2008.0,Radial Velocity,,F
hd 67087 b,,973.0,352.2,0.17,HD 67087,1.36,1.55,6330.0,76.5217,121.9155672,31.5511553,2015.0,Radial Velocity,,F8 V
hd 67087 c,,1540.0,2374.0,0.76,HD 67087,1.36,1.55,6330.0,76.5217,121.9155672,31.5511553,2015.0,Radial Velocity,,F8 V
hd 73344 b,,12.43,15.604,0.0,HD 73344,1.19,1.22,6148.0,35.26,129.6894456,23.6852651,2024.0,Transit,,F
hd 73344 c,,118.54999581,65.94,0.124,HD 73344,1.19,1.22,6148.0,35.26,129.6894456,23.6852651,2025.0,Radial Velocity,,F
hd 73344 d,,810.46243785,5823.0,0.18,HD 73344,1.19,1.22,6148.0,35.26,129.6894456,23.6852651,2025.0,Radial Velocity,,F
hd 7449 b,,352.776,1275.0,0.82,HD 7449,1.05,1.01,6024.0,38.662,18.621465,-5.0479716,2011.0,Radial Velocity,,F
hd 75289 b,,148.42661,3.509267,0.034,HD 75289,1.21,,6095.0,29.1158,131.9181715,-41.7377748,1999.0,Radial Velocity,,F
hd 75898 b,,858.141,418.20001,0.1,HD 75898,1.43,1.55,6061.0,78.0505,133.4611999,33.0566885,2007.0,Radial Velocity,,F
hd 75898 c,,2698.36317543,6717.0,0.08,HD 75898,1.295,,6122.0,78.0505,133.4611999,33.0566885,2024.0,Radial Velocity,,F8 V
hd 77946 b,2.89726371,,6.52738841375,,HD 77946,,1.32944,6023.0,99.451,136.777644,46.6724251,2024.0,Transit,1149.83,F
hd 8574 b,,561.28496676,227.04,0.306,HD 8574,1.090782,1.423047,6004.14,44.8264,21.3033807,28.5660169,2002.0,Radial Velocity,,F
hd 86081 b,,521.2412,2.1375,0.01,HD 86081,1.39,1.58,6018.0,103.936,149.0243714,-3.8083543,2006.0,Radial Velocity,,F
hd 86264 b,,3909.2894061,1480.0,0.77,HD 86264,1.42,,6210.0,67.8107,149.2409308,-15.8953993,2009.0,Radial Velocity,,F7 V
hd 89744 b,,2653.8805,256.78,0.677,HD 89744,1.86,,6291.0,38.6364,155.5433193,41.2289354,1999.0,Radial Velocity,,F
hd 89839 b,,1652.7077164,3448.0,0.2,HD 89839,1.3,,,57.3063,155.168879,-53.6640291,2023.0,Radial Velocity,,F7 V
